Table 1
,,,,
,Term,Definition,,
,High Potentials (HiPo),"Employee need some nurturing or resources to become ready to fill a key role in the future (6 mo, 1 year, 2 years, 5 years)

• Growth Potential
• Aspiration for Sr Roles",,
,Emerging Talent (ET),"Interns, entry-level, or Jr employees that show motivation, intelligence and skills to accelerate to management level positions

• Demoed potential
• Correct Attitude
• Jrs Roles",,
,Readiness,Employee is ready to fill a position at the moment,,
,Talent Gap,Key position with no employee ready to fill it right now,,
,Nomination,"Employee has the potential for a position in the future but might need training. 

Leader thinks the employee is in this situation",,
,Recovery Plan,"People who might not being fully performing effectively but shown great potential

Leaders must create a development plan with specific deadlines to meet",,
,Leaving Soon,"Employee without potential and haven't meet performance goals consistently

Leaders must prepare the departure of the employee",,
,Coaching,"Accompaniment, instruction and training using specific methodologies to boost competencies.

Focused on creating plans and define clear objectives with the purpose of effectively achieve them.

It is required for the Coach to be certified in the specific methodology ",,
,Mentoring,"Taking advantage of someone expertisse and knowledge for guiding others with less experience.

Focused on just giving advice for the future. 

It doesn't require any kind of certification but is preferable for the mentors to have acquired plenty of experience in the topic as well as the abilities for guiding others in their career",,
