Table 1
Value,Rubric,Definition,,
0,Worst you've ever seen,"None of the characteristic, and actively oriented in the opposite direction.",,
2,Very weak,Devoid of the characteristic and unwilling to acknowledge it's importance,,
4,Below average,Unaware of this criteria's importance.,,
5,Average,Average of the current team - not the average of your peers or the entire world.,,
6,Above average,May have limited self awareness as to how this characteristic enables their success,,
7,Strong,This person is certianly better than average in the characteristic but has room for growth. May or may not be aware of developmental opportunities,,
8,Very strong,This characteristic is a strength and the invidual exhibits a constant thirst to improve in this dimension,,
9,Exceptional,This characteristic is a defining characteristic; individual also has the ability to coach others to such a performance level,,
10,Best you've seen.,Redefines our understanding of what it means to be strong in the category,,
